Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20374162,Electrical,Street Light Not Working,2023-07-17 07:57:00.000000000,Sarakki,Closed,Attended,Umesh/AEE
20374161,Electrical,Street Light Not Working,2023-07-17 07:57:00.000000000,Kavalbyrasandra,Closed,Attended,Sandeep Singh/AEE
20374160,Electrical,Street Light Not Working,2023-07-17 07:53:00.000000000,Kengeri,Closed,attended,Gavi Siddiah/AEE
20374159,Electrical,Street Light Not Working,2023-07-17 07:53:00.000000000,Dodda Bidarkallu,Closed,attended,Gavi Siddiah/AEE
20374158,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 07:51:00.000000000,Shanthi Nagar,Closed,close,Appuraju/AEE
20374157,Electrical,Street Light Not Working,2023-07-17 07:51:00.000000000,Kengeri,Closed,attended,Gavi Siddiah/AEE
20374156,Road Infrastructure,Road Infrastructure,2023-07-17 07:46:00.000000000,HSR Layout,Closed,Attended,Ashwini/AEE
20374155,Advertisement,Flex and banners,2023-07-17 07:44:00.000000000,Nagarabhavi,Closed,FLEX AND BANNERS REMOVED,Janardhan/ARO
20374154,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 07:43:00.000000000,Shanthi Nagar,Closed,close,Appuraju/AEE
20374153,Electrical,Street Light Not Working,2023-07-17 07:41:00.000000000,Kodigehalli,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374152,Electrical,Street Light Not Working,2023-07-17 07:40:00.000000000,Vidyaranyapura,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374151,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 07:39:00.000000000,Ramamurthy Nagar,Closed,Clear,Chandrakala K/JHI
20374150,Electrical,Street Light Not Working,2023-07-17 07:36:00.000000000,Vishwanathnagenahalli,Closed,Attended,Sandeep Singh/AEE
20374149,Electrical,Street Light Not Working,2023-07-17 07:29:00.000000000,Begur,Closed,Attended,Sandeep/AEE
20374148,Electrical,Street Light Not Working,2023-07-17 07:29:00.000000000,Shettyhalli,Closed,Attended,Gurappa Y Doddamani/AEE
20374147,Electrical,Street Light Not Working,2023-07-17 07:29:00.000000000,Giri Nagar,Closed,Attended,Jnanesh/AEE
20374146,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 07:27:00.000000000,Varthur,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20374145,Electrical,Street Light Not Working,2023-07-17 07:25:00.000000000,Rajaji Nagar,Closed,ATTENDED,Suresh/AEE
20374144,Electrical,Street Light Not Working,2023-07-17 07:25:00.000000000,BTM Layout,Closed,Attended,Jnanesh/AEE
20374143,Electrical,Street Light Not Working,2023-07-17 07:24:00.000000000,Hemmigepura,Closed,attended,Gavi Siddiah/AEE
20374142,Electrical,Street Light Not Working,2023-07-17 07:23:00.000000000,Hemmigepura,Closed,attended,Gavi Siddiah/AEE
20374141,Electrical,Street Light Not Working,2023-07-17 07:23:00.000000000,Hombegowda Nagar,Closed,Attended,Jnanesh/AEE
20374140,Electrical,Street Light Not Working,2023-07-17 07:23:00.000000000,Rajarajeshwari Nagar,Closed,attended,Gavi Siddiah/AEE
